x,y,z
-111, 67, 4
-141, 84, 8
-169, 107, 0
-184, 76, 6
-181, 95, -12
-138, 98, -15
-153, 64, 1
-136, 77, -15
-91, 41, 4
-76, 28, 5
-91, 16, -16
-97, 19, -11
-113, 32, -16
-132, 59, -1
-173, 58, 12
-139, 102, -1
-166, 41, 16
-151, 91, -7
-99, 85, -7
-77, 70, 4
-95, 68, -3
-114, 83, 7
-144, 92, 8
-171, 92, -2
-199, 85, 4
-137, 98, -20
-141, 72, -4
-159, 61, -9
-117, 55, -7
-77, 32, 9
-79, 14, 1
-93, 4, -5
-108, 21, 7
-129, 47, 2
-151, 73, 16
-174, 77, 4
-142, 84, 1
-158, 58, 3
-122, 96, -3
-90, 77, -4
-80, 61, -3
-98, 58, 0
-120, 64, 16
-151, 89, 2
-178, 90, 5
-203, 94, 0
-142, 100, -20
-149, 67, 7
-131, 66, -13
-94, 31, -8
-80, 38, 8
-95, 49, -8
-95, 25, -1
-105, 47, -1
-122, 48, -1
-162, 47, 26
-137, 62, -11
-164, 54, 6
-160, 66, 1
-107, 96, -7
-84, 70, 0
-93, 59, 0
-123, 59, -7
-139, 76, 11
-152, 91, 19
-184, 87, 5
-173, 102, -3
-150, 94, -22
-154, 63, -1
-128, 64, -10
-92, 43, -2
-91, 50, -1
-96, 44, -19
-100, 37, -6
-114, 26, 2
-132, 48, 5
-153, 53, 0
-131, 78, -7
-157, 42, 7
-143, 79, 0
-94, 81, 3
-83, 60, 2
-105, 57, 4
-124, 83, 7
-139, 93, 0
-155, 86, -7
-197, 96, 13
-152, 119, -22
-129, 110, -20
-141, 67, 15
-120, 78, -5
-98, 63, 0
-98, 66, -8
-98, 57, -8
-104, 44, 9
-113, 56, 5
-117, 64, 4
-132, 41, 4
-112, 84, -17
-132, 37, 3
-140, 53, 3
-104, 78, -9
-91, 63, 0
-103, 84, -8
-121, 92, 13
-133, 99, 22
-151, 106, 7
-191, 94, 13
-144, 118, -15
-121, 105, -4
-142, 81, 14
-121, 69, -8
-95, 61, -1
-92, 52, 3
-100, 56, 1
-107, 62, 6
-110, 68, 0
-108, 74, 4
-126, 60, 7
-108, 92, -1
-127, 50, 21
-141, 58, -2
-103, 83, -1
-83, 55, 0
-96, 75, -2
-109, 51, 10
-131, 90, 12
-154, 94, -3
-184, 94, 14
-155, 132, -4
-130, 121, -11
-134, 80, 16
-111, 72, -2
-96, 65, 2
-96, 65, 3
-101, 69, -1
-101, 45, 6
-108, 46, 6
-125, 63, 6
-137, 52, 3
-119, 96, -10
-146, 49, 9
-128, 70, 8
-103, 69, -1
-79, 67, 2
-88, 75, 7
-103, 62, 21
-133, 107, 8
-150, 82, -3
-190, 102, 7
-131, 104, -16
-122, 118, -9
-133, 81, 25
-111, 84, 5
-95, 73, 12
-93, 56, 6
-97, 73, -1
-97, 56, 11
-105, 66, 5
-128, 72, 0
-142, 63, 7
-112, 95, -7
-129, 36, 2
-128, 61, -2
-101, 66, -4
-85, 59, 7
-95, 58, 3
-121, 62, 5
-147, 104, 9
-156, 108, 7
-186, 96, 9
-131, 109, -12
-121, 105, -8
-144, 82, 19
-114, 96, -12
-89, 81, 7
-85, 75, 5
-99, 76, 1
-107, 55, 1
-101, 56, -3
-116, 73, 11
-139, 56, 18
-118, 81, -13
-140, 44, 7
-138, 72, -5
-104, 77, 1
-85, 58, 7
-96, 69, -9
-105, 61, 6
-140, 117, 5
-157, 113, -3
-205, 107, 8
-142, 127, -23
-130, 121, -1
-141, 81, 30
-116, 66, 3
-96, 59, 0
-90, 32, -4
-81, 42, -10
-81, 40, 1
-102, 60, 9
-119, 92, -2
-143, 73, 4
-124, 96, -19
-141, 59, 0
-130, 77, 0
-98, 80, -3
-83, 49, 3
-97, 83, -11
-112, 81, 7
-137, 109, 10
-156, 99, -11
-205, 127, 4
-152, 134, -15
-129, 112, -15
-141, 83, 20
-113, 66, 1
-91, 55, 2
-80, 32, -1
-88, 37, -6
-96, 47, 0
-97, 56, 5
-112, 83, 1
-144, 80, 9
-118, 96, -18
-137, 69, 1
-129, 76, 3
-98, 95, -3
-77, 56, 2
-91, 67, 0
-107, 73, 8
-139, 102, 3
-152, 114, -4
-190, 94, 16
-155, 121, -10
-118, 109, -21
-139, 91, 18
-116, 74, 11
-94, 71, 6
-90, 58, 1
-94, 55, -2
-92, 62, 2
-95, 60, 9
-104, 83, 3
-122, 71, 14
-103, 83, -10
-132, 60, 8
-138, 65, 1
-108, 91, 0
-85, 63, 2
-97, 79, -1
-105, 76, 14
-133, 95, 21
-154, 125, 1
-177, 90, 11
-166, 107, -1
-113, 104, -21
-128, 88, 19
-121, 88, 9
-96, 91, 10
-86, 65, 17
-86, 60, 8
-89, 70, 6
-88, 61, 3
-98, 91, -3
-126, 74, 17
-111, 95, -5
-109, 87, -3
-129, 57, 6
-110, 86, 1
-79, 59, 0
-86, 76, -2
-102, 72, 8
-113, 90, 21
-147, 113, 14
-158, 116, 11
-190, 126, 14
-109, 123, -24
-119, 112, 5
-117, 79, 21
-95, 65, 6
-82, 58, 2
-88, 56, -4
-93, 79, 1
-94, 75, 14
-118, 94, 0
-132, 87, 19
-115, 91, 2
-116, 65, 7
-130, 62, 13
-104, 76, 3
-73, 58, 8
-77, 60, 6
-97, 55, 6
-116, 56, 15
-149, 93, 8
-159, 116, 19
-210, 119, 21
-104, 145, -17
-116, 107, 8
-117, 91, 18
-92, 82, 5
-83, 65, 5
-88, 53, 4
-98, 66, 5
-126, 76, 9
-137, 95, 3
-146, 90, 18
-114, 84, 6
-102, 83, 9
-128, 60, 15
-112, 72, -4
-77, 57, -4
-76, 48, 1
-92, 51, 11
-102, 53, 20
-132, 79, 13
-153, 91, 7
-204, 99, 27
-123, 117, 0
-102, 117, -10
-124, 84, 13
-92, 81, 0
-67, 69, 2
-72, 61, 3
-95, 59, -1
-116, 89, 0
-134, 107, 2
-171, 118, 10
-165, 111, 11
-125, 94, 13
-153, 65, 18
-121, 64, -2
-85, 56, -8
-71, 45, 4
-82, 33, 5
-89, 24, 12
-119, 42, 21
-133, 57, 14
-179, 71, 19
-156, 85, 2
-125, 104, -9
-139, 113, 7
-94, 98, 10
-69, 69, 17
-65, 57, 5
-96, 68, -6
-111, 89, 0
-138, 113, 5
-161, 129, 5
-181, 121, 2
-131, 99, -1
-141, 78, 15
-138, 71, 7
-115, 66, 1
-92, 51, -3
-93, 40, 0
-94, 31, 5
-97, 32, 17
-119, 43, 26
-134, 60, 26
-175, 68, 26
-121, 96, -5
-130, 98, 2
-122, 97, -1
-75, 74, 8
-70, 61, 16
-91, 78, -9
-104, 88, -4
-122, 104, -1
-134, 127, -12
-170, 139, -6
-133, 141, -19
-156, 100, 15
-158, 90, 4
-125, 93, -1
-94, 62, -4
-97, 49, 1
-99, 28, 8
-97, 39, 27
-116, 37, 23
-123, 44, 15
-180, 41, 32
-123, 57, -4
-117, 78, -4
-145, 84, 19
-116, 76, 18
-79, 77, -5
-91, 112, -28
-97, 90, -13
-122, 101, -2
-140, 126, -22
-185, 139, -10
-190, 120, -20
-154, 104, -8
-159, 68, 1
-138, 77, -8
-111, 68, 0
-103, 46, 2
-102, 34, 6
-100, 2, 16
-117, 54, 19
-124, 8, 12
-157, 31, 32
-152, 41, 5
-122, 71, 6
-153, 84, 22
-122, 85, 14
-91, 78, 7
-86, 92, -8
-101, 101, -14
-116, 91, -8
-130, 127, -8
-135, 141, -18
-183, 137, -15
-148, 116, -22
-153, 94, 7
-157, 73, 0
-132, 80, -9
-104, 51, 4
-93, 33, 5
-100, 33, 0
-104, 23, 12
-121, 33, 23
-136, 45, 28
-161, 30, 26
-122, 51, 6
-107, 65, 11
-143, 76, 25
-129, 113, 24
-93, 86, 6
-79, 105, -24
-96, 100, -4
-116, 101, 4
-121, 133, -13
-135, 137, -16
-185, 116, -23
-140, 128, -27
-163, 93, -2
-148, 84, -12
-126, 73, -8
-107, 46, -5
-100, 31, -5
-100, 21, 0
-108, 31, 9
-126, 23, 21
-135, 31, 23
-173, 35, 22
-109, 59, -8
-133, 72, 21
-156, 95, 34
-113, 92, 28
-95, 56, 28
-97, 68, 7
-109, 90, 4
-111, 88, 18
-129, 112, 11
-144, 122, -1
-183, 111, -11
-137, 106, -19
-154, 74, 17
-160, 73, 9
-138, 82, -7
-113, 44, -4
-103, 34, -2
-107, 35, -5
-109, 23, 9
-132, 36, 17
-143, 24, 12
-176, 29, 16
-99, 62, -7
-116, 55, 2
-151, 85, 32
-112, 90, 33
-83, 79, 25
-90, 106, 4
-113, 88, 9
-108, 84, 9
-126, 103, 12
-163, 118, 14
-185, 118, -8
-121, 98, -21
-149, 71, 6
-149, 77, 0
-126, 72, -10
-108, 48, -12
-109, 35, -9
-111, 33, -3
-114, 30, 12
-118, 29, 13
-148, 18, 13
-157, 24, 4
-113, 62, -4
-150, 68, 16
-146, 104, 22
-99, 90, 19
-82, 76, 7
-100, 100, 8
-99, 86, 15
-125, 95, 4
-145, 124, 2
-167, 124, 5
-169, 92, -12
-131, 93, -7
-150, 66, 9
-152, 82, -2
-130, 69, -14
-116, 47, -6
-111, 44, -7
-111, 32, -1
-117, 26, 7
-128, 13, 7
-161, 3, 25
-146, 18, -1
-115, 55, -6
-155, 90, 22
-137, 143, 24
-93, 103, 19
-80, 59, 10
-105, 83, 2
-120, 90, 15
-128, 115, -7
-144, 123, 0
-177, 110, 0
-150, 94, -13
-161, 67, 7
-153, 75, 0
-126, 68, -18
-101, 44, -9
-104, 36, 1
-110, 31, 10
-115, 34, 15
-124, 28, 11
-158, 18, 7
-162, 21, 12
-116, 48, 6
-137, 66, 33
-145, 77, 31
-97, 98, 18
-86, 72, 21
-96, 97, -4
-107, 79, 4
-124, 98, 2
-147, 102, -10
-174, 107, -8
-157, 102, -12
-139, 97, 3
-162, 77, 17
-144, 68, 2
-118, 50, -1
-104, 34, 4
-105, 21, 14
-102, 12, 16
-110, 27, 13
-127, -4, 6
-176, 9, 27
-159, 37, 11
-159, 80, 1
-163, 104, 9
-120, 93, 4
-94, 72, 6
-90, 93, -20
-98, 97, -23
-118, 71, -3
-144, 99, -2
-183, 127, -6
-176, 115, -20
-144, 99, 0
-155, 56, 15
-144, 66, 0
-123, 46, -3
-108, 35, 4
-107, 32, 9
-109, 24, 10
-114, 16, 13
-118, 10, 11
-148, 17, 26
-162, 23, 31
-153, 83, 7
-155, 87, 13
-124, 94, 10
-87, 65, 16
-71, 71, -9
-102, 93, -20
-121, 74, -7
-136, 99, 5
-152, 122, -5
-175, 120, -12
-134, 128, -14
-159, 87, 15
-154, 82, -1
-131, 61, 0
-107, 43, 0
-113, 33, 4
-108, 25, 8
-110, 20, 19
-128, 20, 14
-141, 29, 26
-165, 30, 30
-125, 68, 3
-132, 71, 2
-136, 89, 11
-98, 87, 3
-83, 64, 4
-95, 87, -22
-109, 101, -21
-124, 112, -12
-124, 124, -14
-177, 117, -11
-150, 127, -36
-150, 118, -5
-153, 87, 6
-129, 80, -5
-104, 51, -4
-98, 35, 2
-99, 29, 4
-104, 14, 19
-128, 18, 22
-144, 36, 31
-180, 30, 28
-123, 80, 0
-144, 86, 15
-140, 97, 14
-90, 81, -5
-77, 67, 3
-95, 88, -23
-103, 83, -14
-125, 93, 6
-139, 118, -6
-187, 140, -13
-139, 130, -29
-153, 105, 4
-156, 88, 14
-128, 83, 4
-106, 55, 3
-101, 36, 1
-110, 31, 2
-106, 12, 16
-124, 20, 32
-140, 19, 25
-160, 40, 20
-116, 65, 19
-142, 86, 20
-136, 82, 14
-96, 85, 2
-84, 81, -2
-90, 99, -34
-101, 86, -17
-117, 77, 1
-135, 100, -4
-174, 130, -4
-170, 140, -12
-140, 140, 0
-158, 88, 20
