x,y,z
124,-113,14
137,-110,12
111,-112,5
139,-86,-4
139,-114,-1
121,-106,14
119,-73,8
127,-57,-5
129,-47,-12
130,-40,-10
123,-39,-5
133,-37,-1
145,-21,-10
75,-32,-11
114,-55,7
147,-75,13
123,-83,15
102,-71,14
107,-79,13
118,-109,-5
98,-95,14
107,-124,19
115,-115,3
158,-119,2
135,-128,4
120,-101,-3
133,-98,-23
128,-106,-21
121,-86,1
124,-78,0
127,-70,-12
120,-60,-18
116,-54,-16
111,-46,-12
158,-36,0
96,-31,-19
87,-56,1
127,-51,18
128,-88,12
106,-91,14
106,-89,21
107,-99,18
98,-90,16
111,-104,15
112,-99,17
136,-104,8
138,-115,-6
113,-112,-5
118,-90,-13
125,-109,-15
119,-111,-8
118,-86,-9
129,-82,-10
129,-91,-15
125,-86,-15
123,-88,-11
107,-83,-7
136,-57,-1
73,-93,-13
82,-75,3
102,-35,5
97,-69,0
81,-49,6
88,-68,-2
97,-87,-6
94,-83,17
99,-91,31
107,-111,12
116,-99,0
148,-101,5
103,-122,10
96,-81,-1
127,-96,-9
128,-112,12
121,-99,18
124,-96,10
129,-89,4
133,-71,6
130,-65,6
127,-61,2
110,-63,4
137,-52,10
120,-53,4
87,-86,1
84,-86,10
89,-68,15
82,-78,13
80,-74,14
85,-88,15
90,-93,15
92,-89,21
91,-85,20
95,-85,18
106,-89,21
118,-96,23
107,-95,27
103,-91,28
109,-78,24
106,-81,20
103,-83,13
103,-79,10
101,-79,10
102,-83,11
103,-84,10
103,-84,12
104,-85,14
103,-83,16
104,-83,15
104,-82,14
105,-81,15
105,-81,14
105,-80,14
105,-81,12
104,-78,13
104,-81,14
105,-80,13
105,-83,13
104,-81,13
105,-82,12
104,-81,12
104,-81,14
104,-81,13
104,-81,14
104,-80,14
104,-83,13
105,-82,12
103,-80,13
103,-81,13
104,-83,14
103,-83,13
105,-82,12
104,-81,12
104,-81,13
104,-81,13
104,-82,13
104,-80,14
104,-82,12
104,-82,13
104,-82,14
104,-81,14
104,-82,13
105,-82,13
104,-81,12
105,-78,14
104,-82,17
103,-84,28
102,-91,41
102,-85,52
96,-78,74
86,-65,92
81,-25,99
67,-30,90
57,-11,90
47,-8,76
46,-6,75
31,-27,83
33,-21,89
30,-16,106
30,-11,120
34,-1,119
37,32,169
29,12,101
27,6,102
10,2,121
4,20,117
0,17,123
0,39,46
-31,-133,161
-3,7,102
-1,7,110
1,10,111
1,10,112
1,10,111
1,10,112
1,9,112
1,10,112
1,9,112
1,10,112
1,10,111
1,10,111
1,9,112
1,10,111
1,10,111
1,9,112
1,10,112
2,10,111
1,9,111
1,10,112
1,10,111
1,10,111
1,10,112
1,10,111
1,10,112
1,10,112
1,10,111
1,10,111
1,9,111
1,9,111
1,10,111
1,10,112
1,10,112
1,10,112
1,9,112
1,10,111
1,10,112
1,10,112
1,10,112
1,10,112
